Region,boba
Hawaii,100
California,96
Nevada,83
New Mexico,62
Arizona,52
Washington,47
Utah,45
Colorado,44
Texas,43
Oregon,42
Idaho,39
Alaska,38
Florida,37
Kansas,35
Oklahoma,34
Illinois,31
Nebraska,30
Arkansas,30
North Carolina,30
Massachusetts,29
Georgia,29
Michigan,28
New Hampshire,28
Virginia,28
Tennessee,27
Minnesota,27
Wyoming,26
Kentucky,26
Maine,26
Iowa,25
Indiana,25
Maryland,25
New Jersey,24
District of Columbia,24
Rhode Island,24
Missouri,24
Wisconsin,24
Montana,24
Connecticut,23
South Carolina,23
Ohio,22
Louisiana,22
South Dakota,22
New York,22
Pennsylvania,21
Alabama,21
North Dakota,21
Vermont,20
West Virginia,19
Delaware,17
Mississippi,16
